feature_code,question,value
S12000006,I can influence decisions affecting my local area,18
S12000040,I can influence decisions affecting my local area,25
S12000005,I can influence decisions affecting my local area,14
S12000008,I can influence decisions affecting my local area,13
S12000017,I can influence decisions affecting my local area,26
S12000018,I can influence decisions affecting my local area,14
S12000048,I can influence decisions affecting my local area,23
S12000041,I can influence decisions affecting my local area,20
S92000003,I can influence decisions affecting my local area,21
S12000042,I can influence decisions affecting my local area,20
S12000039,I can influence decisions affecting my local area,19
S12000033,I can influence decisions affecting my local area,23
S12000036,I can influence decisions affecting my local area,24
S12000026,I can influence decisions affecting my local area,17
S12000023,I can influence decisions affecting my local area,19
S12000038,I can influence decisions affecting my local area,20
S12000035,I can influence decisions affecting my local area,29
S12000028,I can influence decisions affecting my local area,14
S12000029,I can influence decisions affecting my local area,23
S12000034,I can influence decisions affecting my local area,14
S12000047,I can influence decisions affecting my local area,26
S12000030,I can influence decisions affecting my local area,24
S12000045,I can influence decisions affecting my local area,22
S12000020,I can influence decisions affecting my local area,19
S12000021,I can influence decisions affecting my local area,6
S12000019,I can influence decisions affecting my local area,24
S12000013,I can influence decisions affecting my local area,27
S12000010,I can influence decisions affecting my local area,24
S12000014,I can influence decisions affecting my local area,16
S12000027,I can influence decisions affecting my local area,28
S12000011,I can influence decisions affecting my local area,28
S12000049,I can influence decisions affecting my local area,23
S12000050,I can influence decisions affecting my local area,25
S12000014,I want greater involvement in decision-making,24
S12000018,I want greater involvement in decision-making,28
S12000021,I want greater involvement in decision-making,23
S12000049,I want greater involvement in decision-making,35
S12000050,I want greater involvement in decision-making,38
S12000038,I want greater involvement in decision-making,26
S12000040,I want greater involvement in decision-making,34
S92000003,I want greater involvement in decision-making,33
S12000041,I want greater involvement in decision-making,27
S12000036,I want greater involvement in decision-making,38
S12000011,I want greater involvement in decision-making,27
S12000023,I want greater involvement in decision-making,28
S12000033,I want greater involvement in decision-making,36
S12000028,I want greater involvement in decision-making,29
S12000030,I want greater involvement in decision-making,35
S12000029,I want greater involvement in decision-making,37
S12000006,I want greater involvement in decision-making,30
S12000026,I want greater involvement in decision-making,31
S12000005,I want greater involvement in decision-making,34
S12000017,I want greater involvement in decision-making,38
S12000013,I want greater involvement in decision-making,45
S12000020,I want greater involvement in decision-making,30
S12000008,I want greater involvement in decision-making,28
S12000010,I want greater involvement in decision-making,34
S12000034,I want greater involvement in decision-making,26
S12000019,I want greater involvement in decision-making,39
S12000027,I want greater involvement in decision-making,39
S12000048,I want greater involvement in decision-making,31
S12000042,I want greater involvement in decision-making,32
S12000045,I want greater involvement in decision-making,29
S12000039,I want greater involvement in decision-making,33
S12000035,I want greater involvement in decision-making,39
S12000047,I want greater involvement in decision-making,33
S12000042,My council addresses key issues,30
S12000041,My council addresses key issues,32
S12000010,My council addresses key issues,46
S12000036,My council addresses key issues,32
S12000005,My council addresses key issues,36
S12000006,My council addresses key issues,33
S12000030,My council addresses key issues,41
S12000035,My council addresses key issues,30
S12000048,My council addresses key issues,45
S12000047,My council addresses key issues,43
S92000003,My council addresses key issues,35
S12000029,My council addresses key issues,37
S12000033,My council addresses key issues,28
S12000045,My council addresses key issues,35
S12000040,My council addresses key issues,47
S12000039,My council addresses key issues,25
S12000034,My council addresses key issues,29
S12000023,My council addresses key issues,39
S12000021,My council addresses key issues,41
S12000020,My council addresses key issues,37
S12000028,My council addresses key issues,29
S12000008,My council addresses key issues,26
S12000038,My council addresses key issues,35
S12000014,My council addresses key issues,33
S12000011,My council addresses key issues,37
S12000026,My council addresses key issues,40
S12000027,My council addresses key issues,37
S12000049,My council addresses key issues,33
S12000017,My council addresses key issues,29
S12000018,My council addresses key issues,31
S12000013,My council addresses key issues,39
S12000019,My council addresses key issues,34
S12000050,My council addresses key issues,40
S12000049,My council designs services around users' needs,37
S92000003,My council designs services around users' needs,40
S12000033,My council designs services around users' needs,34
S12000035,My council designs services around users' needs,35
S12000041,My council designs services around users' needs,40
S12000039,My council designs services around users' needs,28
S12000042,My council designs services around users' needs,42
S12000040,My council designs services around users' needs,57
S12000045,My council designs services around users' needs,43
S12000050,My council designs services around users' needs,42
S12000010,My council designs services around users' needs,55
